alt2 min phase gs dist fb fuel lat lon hdg
7101 0.1666667 1 214.7038 0.5959782 5585.924 15.52488 -78.52264 166.3545 182
7201 0.1666667 1 215.0175 0.5968497 5579.65 15.50745 -78.53258 166.3527 182
7301 0.1666667 1 215.3312 0.5977211 5573.375 15.49002 -78.54254 166.351 182
7401 0.1666667 1 215.645 0.5985926 5567.101 15.47259 -78.55251 166.3492 182
7501 0.1666667 1 215.9587 0.5994641 5560.826 15.45516 -78.56249 166.3475 182
7601 0.1666667 1 216.2724 0.6003355 5554.552 15.43773 -78.57249 166.3457 182
7701 0.1666667 1 216.5861 0.601207 5548.277 15.42031 -78.58251 166.344 182
7801 0.1666667 1 216.8999 0.6020784 5542.003 15.40288 -78.59254 166.3422 182
7901 0.1666667 1 217.2136 0.6029499 5535.728 15.38545 -78.60258 166.3404 182
8001 0.1666667 1 217.5273 0.6038214 5529.454 15.36802 -78.61264 166.3386 182
8101 0.1666667 1 217.841 0.6046928 5523.179 15.35059 -78.62271 166.3368 182
8201 0.1666667 1 218.1548 0.6055643 5516.905 15.33316 -78.63279 166.3351 182
8301 0.1666667 1 218.4685 0.6064357 5510.63 15.31573 -78.6429 166.3333 182
8401 0.1666667 1 218.7822 0.6073072 5504.356 15.2983 -78.65301 166.3315 182
8501 0.1666667 1 219.0959 0.6081786 5498.081 15.28087 -78.66314 166.3297 182
8601 0.1666667 1 219.4097 0.6090501 5491.807 15.26344 -78.67329 166.3279 182
8701 0.1666667 1 219.7234 0.6099216 5485.532 15.24601 -78.68345 166.3261 182
8801 0.1666667 1 220.0371 0.610793 5479.258 15.22858 -78.69362 166.3243 182
8901 0.1666667 1 220.3508 0.6116645 5472.983 15.21115 -78.70381 166.3224 182
9001 0.1666667 1 220.6646 0.6125359 5466.708 15.19373 -78.71401 166.3206 182
9101 0.1666667 1 220.9783 0.6134074 5460.434 15.1763 -78.72423 166.3188 182
9201 0.1666667 1 221.292 0.6142789 5454.159 15.15887 -78.73446 166.317 182
9301 0.1666667 1 221.6058 0.6151503 5447.885 15.14144 -78.7447 166.3151 182
9401 0.1666667 1 221.9195 0.6160218 5441.61 15.12401 -78.75497 166.3133 182
9501 0.1666667 1 222.2332 0.6168932 5435.336 15.10658 -78.76524 166.3115 182
9601 0.1666667 1 222.5469 0.6177647 5429.061 15.08915 -78.77553 166.3096 182
9701 0.1666667 1 222.8607 0.6186362 5422.787 15.07172 -78.78584 166.3078 182
9801 0.1666667 1 223.1744 0.6195076 5416.512 15.05429 -78.79615 166.3059 182
9901 0.1666667 1 223.4881 0.6203791 5410.238 15.03686 -78.80649 166.3041 182
10001 0.1666667 1 223.8018 0.6212505 5403.963 15.01943 -78.81684 166.3022 182
10101 0.1666667 1 224.1156 0.622122 5397.689 15.002 -78.8272 166.3003 182
10201 0.1666667 1 224.4293 0.6229935 5391.414 14.98458 -78.83757 166.2985 182
10301 0.1666667 1 224.743 0.6238649 5385.14 14.96715 -78.84797 166.2966 182
10401 0.1666667 1 225.0567 0.6247364 5378.865 14.94972 -78.85837 166.2947 182
10501 0.1666667 1 225.3705 0.6256078 5372.591 14.93229 -78.86879 166.2928 182
10601 0.1666667 1 225.6842 0.6264793 5366.316 14.91486 -78.87923 166.2909 182
10701 0.1666667 1 225.9979 0.6273508 5360.042 14.89743 -78.88968 166.289 182
10801 0.1666667 1 226.3116 0.6282222 5353.767 14.88 -78.90014 166.2871 182
10901 0.1666667 1 226.6254 0.6290937 5347.493 14.86257 -78.91062 166.2852 182
11001 0.1666667 1 226.9391 0.6299651 5341.218 14.84514 -78.92111 166.2833 182
11101 0.1666667 1 227.2528 0.6308366 5334.944 14.82771 -78.93162 166.2814 182
11201 0.1666667 1 227.5665 0.6317081 5328.669 14.81028 -78.94214 166.2795 182
11301 0.1666667 1 227.8803 0.6325795 5322.395 14.79285 -78.95268 166.2776 182
11401 0.1666667 1 228.194 0.633451 5316.12 14.77542 -78.96323 166.2757 182
11501 0.1666667 1 228.5077 0.6343224 5309.846 14.758 -78.9738 166.2737 182
11601 0.1666667 1 228.8214 0.6351939 5303.571 14.74057 -78.98438 166.2718 182
11701 0.1666667 1 229.1352 0.6360654 5297.297 14.72314 -78.99497 166.2699 182
11801 0.1666667 1 229.4489 0.6369368 5291.022 14.70571 -79.00558 166.2679 182
11901 0.1666667 1 229.7626 0.6378083 5284.748 14.68828 -79.0162 166.266 182
12001 0.1666667 1 230.0763 0.6386797 5278.473 14.67085 -79.02684 166.264 182
12101 0.1666667 1 230.3901 0.6395512 5272.199 14.65342 -79.03749 166.2621 182
12201 0.1666667 1 230.7038 0.6404227 5265.924 14.63599 -79.04816 166.2601 182
12301 0.1666667 1 231.0175 0.6412941 5259.65 14.61856 -79.05884 166.2581 182
12401 0.1666667 1 231.3312 0.6421656 5253.375 14.60113 -79.06954 166.2562 182
12501 0.1666667 1 231.645 0.643037 5247.101 14.5837 -79.08025 166.2542 182
12601 0.1666667 1 231.9587 0.6439085 5240.826 14.56627 -79.09097 166.2522 182
12701 0.1666667 1 232.2724 0.64478 5234.552 14.54885 -79.10171 166.2502 182
12801 0.1666667 1 232.5861 0.6456514 5228.277 14.53142 -79.11247 166.2483 182
12901 0.1666667 1 232.8999 0.6465229 5222.003 14.51399 -79.12324 166.2463 182
13001 0.1666667 1 233.2136 0.6473943 5215.728 14.49656 -79.13402 166.2443 182
13101 0.1666667 1 233.5273 0.6482658 5209.454 14.47913 -79.14482 166.2423 182
13201 0.1666667 1 233.841 0.6491373 5203.179 14.4617 -79.15563 166.2403 182
13301 0.1666667 1 234.1548 0.6500087 5196.905 14.44427 -79.16646 166.2382 182
13401 0.1666667 1 234.4685 0.6508802 5190.63 14.42684 -79.1773 166.2362 182
13501 0.1666667 1 234.7822 0.6517516 5184.356 14.40941 -79.18816 166.2342 182
13601 0.1666667 1 235.0959 0.6526231 5178.081 14.39198 -79.19903 166.2322 182
13701 0.1666667 1 235.4097 0.6534946 5171.807 14.37455 -79.20991 166.2302 182
13801 0.1666667 1 235.7234 0.654366 5165.532 14.35712 -79.22081 166.2281 182
13901 0.1666667 1 236.0371 0.6552375 5159.258 14.33969 -79.23172 166.2261 182
14001 0.1666667 1 236.3508 0.6561089 5152.983 14.32227 -79.24265 166.224 182
14101 0.1666667 1 236.6646 0.6569804 5146.708 14.30484 -79.2536 166.222 182
14201 0.1666667 1 236.9783 0.6578519 5140.434 14.28741 -79.26455 166.2199 182
14301 0.1666667 1 237.292 0.6587233 5134.159 14.26998 -79.27553 166.2179 182
14401 0.1666667 1 237.6058 0.6595948 5127.885 14.25255 -79.28651 166.2158 182
14501 0.1666667 1 237.9195 0.6604662 5121.61 14.23512 -79.29751 166.2138 182
14601 0.1666667 1 238.2332 0.6613377 5115.336 14.21769 -79.30853 166.2117 182
14701 0.1666667 1 238.5469 0.6622092 5109.061 14.20026 -79.31956 166.2096 182
14801 0.1666667 1 238.8607 0.6630806 5102.787 14.18283 -79.3306 166.2075 182
14901 0.1666667 1 239.1744 0.6639521 5096.512 14.1654 -79.34166 166.2054 182
15001 0.1666667 1 239.4881 0.6648235 5090.238 14.14797 -79.35274 166.2033 182
15101 0.1666667 1 239.8018 0.665695 5083.963 14.13054 -79.36382 166.2012 182
15201 0.1666667 1 240.1156 0.6665664 5077.689 14.11312 -79.37493 166.1991 182
15301 0.1666667 1 240.4293 0.6674379 5071.414 14.09569 -79.38604 166.197 182
15401 0.1666667 1 240.743 0.6683094 5065.14 14.07826 -79.39718 166.1949 182
15501 0.1666667 1 241.0567 0.6691808 5058.865 14.06083 -79.40832 166.1928 182
15601 0.1666667 1 241.3705 0.6700523 5052.591 14.0434 -79.41948 166.1907 182
15701 0.1666667 1 241.6842 0.6709237 5046.316 14.02597 -79.43066 166.1886 182
15801 0.1666667 1 241.9979 0.6717952 5040.042 14.00854 -79.44185 166.1864 182
15901 0.1666667 1 242.3116 0.6726667 5033.767 13.99111 -79.45305 166.1843 182
16001 0.1666667 1 242.6254 0.6735381 5027.493 13.97368 -79.46427 166.1821 182
16101 0.1666667 1 242.9391 0.6744096 5021.218 13.95625 -79.4755 166.18 182
16201 0.1666667 1 243.2528 0.675281 5014.944 13.93882 -79.48675 166.1779 182
16301 0.1666667 1 243.5665 0.6761525 5008.669 13.92139 -79.49801 166.1757 182
16401 0.1666667 1 243.8803 0.677024 5002.395 13.90397 -79.50929 166.1735 182
16501 0.1666667 1 244.194 0.6778954 4996.12 13.88654 -79.52058 166.1714 182
16601 0.1666667 1 244.5077 0.6787669 4989.846 13.86911 -79.53189 166.1692 182
16701 0.1666667 1 244.8214 0.6796383 4983.571 13.85168 -79.54321 166.167 182
16801 0.1666667 1 245.1352 0.6805098 4977.297 13.83425 -79.55454 166.1648 182
16901 0.1666667 1 245.4489 0.6813813 4971.022 13.81682 -79.56589 166.1626 182
17001 0.1666667 1 245.7626 0.6822527 4964.748 13.79939 -79.57726 166.1605 182
17101 0.1666667 1 246.0763 0.6831242 4958.473 13.78196 -79.58864 166.1583 182
17201 0.1666667 1 246.3901 0.6839956 4952.199 13.76453 -79.60003 166.1561 182
17301 0.1666667 1 246.7038 0.6848671 4945.924 13.7471 -79.61144 166.1538 182
17401 0.1666667 1 247.0175 0.6857386 4939.65 13.72967 -79.62286 166.1516 182
17501 0.1666667 1 247.3312 0.68661 4933.375 13.71224 -79.63429 166.1494 182
17601 0.1666667 1 247.645 0.6874815 4927.101 13.69481 -79.64575 166.1472 182
17701 0.1666667 1 247.9587 0.6883529 4920.826 13.67739 -79.65721 166.145 182
17801 0.1666667 1 248.2724 0.6892244 4914.552 13.65996 -79.66869 166.1427 182
17901 0.1666667 1 248.5861 0.6900959 4908.277 13.64253 -79.68019 166.1405 182
