alt2 min phase gs dist fb fuel lat lon hdg
7223 0.1666667 1 215.0865 0.5970414 5578.269 15.50362 -44.15502 172.4695 185
7323 0.1666667 1 215.4003 0.5979129 5571.995 15.48619 -44.16495 172.4682 185
7423 0.1666667 1 215.714 0.5987843 5565.72 15.46876 -44.17489 172.467 185
7523 0.1666667 1 216.0277 0.5996558 5559.446 15.45133 -44.18485 172.4658 185
7623 0.1666667 1 216.3414 0.6005272 5553.171 15.4339 -44.19482 172.4646 185
7723 0.1666667 1 216.6552 0.6013987 5546.897 15.41647 -44.20481 172.4634 185
7823 0.1666667 1 216.9689 0.6022702 5540.622 15.39904 -44.21481 172.4622 185
7923 0.1666667 1 217.2826 0.6031416 5534.348 15.38161 -44.22482 172.4609 185
8023 0.1666667 1 217.5963 0.6040131 5528.073 15.36418 -44.23485 172.4597 185
8123 0.1666667 1 217.9101 0.6048845 5521.799 15.34675 -44.24489 172.4585 185
8223 0.1666667 1 218.2238 0.605756 5515.524 15.32932 -44.25495 172.4573 185
8323 0.1666667 1 218.5375 0.6066275 5509.25 15.3119 -44.26502 172.456 185
8423 0.1666667 1 218.8512 0.6074989 5502.975 15.29447 -44.27511 172.4548 185
8523 0.1666667 1 219.165 0.6083704 5496.701 15.27704 -44.28521 172.4536 185
8623 0.1666667 1 219.4787 0.6092418 5490.426 15.25961 -44.29532 172.4523 185
8723 0.1666667 1 219.7924 0.6101133 5484.152 15.24218 -44.30545 172.4511 185
8823 0.1666667 1 220.1061 0.6109847 5477.877 15.22475 -44.3156 172.4498 185
8923 0.1666667 1 220.4199 0.6118562 5471.603 15.20732 -44.32576 172.4486 185
9023 0.1666667 1 220.7336 0.6127277 5465.328 15.18989 -44.33593 172.4474 185
9123 0.1666667 1 221.0473 0.6135991 5459.054 15.17246 -44.34612 172.4461 185
9223 0.1666667 1 221.361 0.6144706 5452.779 15.15503 -44.35632 172.4449 185
9323 0.1666667 1 221.6748 0.615342 5446.505 15.1376 -44.36654 172.4436 185
9423 0.1666667 1 221.9885 0.6162135 5440.23 15.12017 -44.37677 172.4424 185
9523 0.1666667 1 222.3022 0.617085 5433.956 15.10275 -44.38701 172.4411 185
9623 0.1666667 1 222.6159 0.6179564 5427.681 15.08532 -44.39727 172.4399 185
9723 0.1666667 1 222.9297 0.6188279 5421.407 15.06789 -44.40755 172.4386 185
9823 0.1666667 1 223.2434 0.6196993 5415.132 15.05046 -44.41784 172.4373 185
9923 0.1666667 1 223.5571 0.6205708 5408.858 15.03303 -44.42814 172.4361 185
10023 0.1666667 1 223.8708 0.6214423 5402.583 15.0156 -44.43846 172.4348 185
10123 0.1666667 1 224.1846 0.6223137 5396.308 14.99817 -44.44879 172.4335 185
10223 0.1666667 1 224.4983 0.6231852 5390.034 14.98074 -44.45914 172.4323 185
10323 0.1666667 1 224.812 0.6240566 5383.759 14.96331 -44.4695 172.431 185
10423 0.1666667 1 225.1258 0.6249281 5377.485 14.94588 -44.47987 172.4297 185
10523 0.1666667 1 225.4395 0.6257996 5371.21 14.92845 -44.49026 172.4285 185
10623 0.1666667 1 225.7532 0.626671 5364.936 14.91102 -44.50067 172.4272 185
10723 0.1666667 1 226.0669 0.6275425 5358.661 14.89359 -44.51109 172.4259 185
10823 0.1666667 1 226.3807 0.6284139 5352.387 14.87617 -44.52152 172.4246 185
10923 0.1666667 1 226.6944 0.6292854 5346.112 14.85874 -44.53197 172.4233 185
11023 0.1666667 1 227.0081 0.6301569 5339.838 14.84131 -44.54243 172.4221 185
11123 0.1666667 1 227.3218 0.6310283 5333.563 14.82388 -44.55291 172.4208 185
11223 0.1666667 1 227.6356 0.6318998 5327.289 14.80645 -44.5634 172.4195 185
11323 0.1666667 1 227.9493 0.6327712 5321.014 14.78902 -44.57391 172.4182 185
11423 0.1666667 1 228.263 0.6336427 5314.74 14.77159 -44.58443 172.4169 185
11523 0.1666667 1 228.5767 0.6345142 5308.465 14.75416 -44.59496 172.4156 185
11623 0.1666667 1 228.8905 0.6353856 5302.191 14.73673 -44.60551 172.4143 185
11723 0.1666667 1 229.2042 0.6362571 5295.916 14.7193 -44.61608 172.413 185
11823 0.1666667 1 229.5179 0.6371285 5289.642 14.70187 -44.62666 172.4117 185
11923 0.1666667 1 229.8316 0.638 5283.367 14.68444 -44.63725 172.4104 185
12023 0.1666667 1 230.1454 0.6388715 5277.093 14.66702 -44.64786 172.4091 185
12123 0.1666667 1 230.4591 0.6397429 5270.818 14.64959 -44.65848 172.4078 185
12223 0.1666667 1 230.7728 0.6406144 5264.544 14.63216 -44.66911 172.4065 185
12323 0.1666667 1 231.0865 0.6414858 5258.269 14.61473 -44.67976 172.4052 185
12423 0.1666667 1 231.4003 0.6423573 5251.995 14.5973 -44.69043 172.4039 185
12523 0.1666667 1 231.714 0.6432288 5245.72 14.57987 -44.70111 172.4026 185
12623 0.1666667 1 232.0277 0.6441002 5239.446 14.56244 -44.7118 172.4012 185
12723 0.1666667 1 232.3414 0.6449717 5233.171 14.54501 -44.72251 172.3999 185
12823 0.1666667 1 232.6552 0.6458431 5226.897 14.52758 -44.73324 172.3986 185
12923 0.1666667 1 232.9689 0.6467146 5220.622 14.51015 -44.74397 172.3973 185
13023 0.1666667 1 233.2826 0.6475861 5214.348 14.49272 -44.75472 172.3959 185
13123 0.1666667 1 233.5963 0.6484575 5208.073 14.47529 -44.76549 172.3946 185
13223 0.1666667 1 233.9101 0.649329 5201.799 14.45786 -44.77627 172.3933 185
13323 0.1666667 1 234.2238 0.6502004 5195.524 14.44044 -44.78707 172.392 185
13423 0.1666667 1 234.5375 0.6510719 5189.25 14.42301 -44.79788 172.3906 185
13523 0.1666667 1 234.8512 0.6519434 5182.975 14.40558 -44.8087 172.3893 185
13623 0.1666667 1 235.165 0.6528148 5176.701 14.38815 -44.81954 172.388 185
13723 0.1666667 1 235.4787 0.6536863 5170.426 14.37072 -44.83039 172.3866 185
13823 0.1666667 1 235.7924 0.6545577 5164.152 14.35329 -44.84126 172.3853 185
13923 0.1666667 1 236.1061 0.6554292 5157.877 14.33586 -44.85214 172.3839 185
14023 0.1666667 1 236.4199 0.6563007 5151.603 14.31843 -44.86304 172.3826 185
14123 0.1666667 1 236.7336 0.6571721 5145.328 14.301 -44.87395 172.3812 185
14223 0.1666667 1 237.0473 0.6580436 5139.054 14.28357 -44.88488 172.3799 185
14323 0.1666667 1 237.361 0.658915 5132.779 14.26614 -44.89582 172.3785 185
14423 0.1666667 1 237.6748 0.6597865 5126.505 14.24871 -44.90677 172.3772 185
14523 0.1666667 1 237.9885 0.660658 5120.23 14.23129 -44.91774 172.3758 185
14623 0.1666667 1 238.3022 0.6615294 5113.956 14.21386 -44.92873 172.3745 185
14723 0.1666667 1 238.6159 0.6624009 5107.681 14.19643 -44.93972 172.3731 185
14823 0.1666667 1 238.9297 0.6632723 5101.407 14.179 -44.95074 172.3718 185
14923 0.1666667 1 239.2434 0.6641438 5095.132 14.16157 -44.96176 172.3704 185
15023 0.1666667 1 239.5571 0.6650153 5088.858 14.14414 -44.9728 172.369 185
15123 0.1666667 1 239.8708 0.6658867 5082.583 14.12671 -44.98386 172.3677 185
15223 0.1666667 1 240.1846 0.6667582 5076.308 14.10928 -44.99493 172.3663 185
15323 0.1666667 1 240.4983 0.6676296 5070.034 14.09185 -45.00601 172.3649 185
15423 0.1666667 1 240.812 0.6685011 5063.759 14.07442 -45.01711 172.3635 185
15523 0.1666667 1 241.1258 0.6693725 5057.485 14.05699 -45.02823 172.3622 185
15623 0.1666667 1 241.4395 0.670244 5051.21 14.03956 -45.03936 172.3608 185
15723 0.1666667 1 241.7532 0.6711155 5044.936 14.02214 -45.0505 172.3594 185
15823 0.1666667 1 242.0669 0.6719869 5038.661 14.00471 -45.06166 172.358 185
15923 0.1666667 1 242.3807 0.6728584 5032.387 13.98728 -45.07283 172.3567 185
16023 0.1666667 1 242.6944 0.6737298 5026.112 13.96985 -45.08401 172.3553 185
