alt2 min phase gs dist fb fuel lat lon hdg
7101 0.1666667 1 214.7038 0.5959782 5585.924 15.52488 -77.18824 166.7839 5
7201 0.1666667 1 215.0175 0.5968497 5579.65 15.50745 -77.17833 166.7878 5
7301 0.1666667 1 215.3312 0.5977211 5573.375 15.49002 -77.1684 166.7917 5
7401 0.1666667 1 215.645 0.5985926 5567.101 15.47259 -77.15846 166.7956 5
7501 0.1666667 1 215.9587 0.5994641 5560.826 15.45516 -77.14851 166.7995 5
7601 0.1666667 1 216.2724 0.6003355 5554.552 15.43773 -77.13854 166.8034 5
7701 0.1666667 1 216.5861 0.601207 5548.277 15.42031 -77.12856 166.8073 5
7801 0.1666667 1 216.8999 0.6020784 5542.003 15.40288 -77.11857 166.8113 5
7901 0.1666667 1 217.2136 0.6029499 5535.728 15.38545 -77.10855 166.8152 5
8001 0.1666667 1 217.5273 0.6038214 5529.454 15.36802 -77.09853 166.8191 5
8101 0.1666667 1 217.841 0.6046928 5523.179 15.35059 -77.08849 166.8231 5
8201 0.1666667 1 218.1548 0.6055643 5516.905 15.33316 -77.07843 166.827 5
8301 0.1666667 1 218.4685 0.6064357 5510.63 15.31573 -77.06837 166.8309 5
8401 0.1666667 1 218.7822 0.6073072 5504.356 15.2983 -77.05828 166.8349 5
8501 0.1666667 1 219.0959 0.6081786 5498.081 15.28087 -77.04818 166.8388 5
8601 0.1666667 1 219.4097 0.6090501 5491.807 15.26344 -77.03807 166.8428 5
8701 0.1666667 1 219.7234 0.6099216 5485.532 15.24601 -77.02795 166.8467 5
8801 0.1666667 1 220.0371 0.610793 5479.258 15.22858 -77.0178 166.8507 5
8901 0.1666667 1 220.3508 0.6116645 5472.983 15.21115 -77.00765 166.8546 5
9001 0.1666667 1 220.6646 0.6125359 5466.708 15.19373 -76.99748 166.8586 5
9101 0.1666667 1 220.9783 0.6134074 5460.434 15.1763 -76.98729 166.8625 5
9201 0.1666667 1 221.292 0.6142789 5454.159 15.15887 -76.9771 166.8665 5
